"Name","Description__c","Detail_Description__c","External_Description__c","External_Id__c","Sirono_Id__c","Unmapped__c"
"Peritoneal Dialysis","Peritoneal Dialysis","Other Peritoneal Dialysis","Peritoneal Dialysis","839","396.0","false"
"Ambulatory Peritoneal Dialysis","Ambulatory Peritoneal Dialysis","General","Ambulatory Peritoneal Dialysis","840","397.0","false"
"Ambulatory Peritoneal Dialysis","Ambulatory Peritoneal Dialysis","CAPD/Composite or Other Rate","Ambulatory Peritoneal Dialysis","841","398.0","false"
"Ambulatory Peritoneal Dialysis","Ambulatory Peritoneal Dialysis","Home Supplies","Ambulatory Peritoneal Dialysis","842","399.0","false"
"Ambulatory Peritoneal Dialysis","Ambulatory Peritoneal Dialysis","Home Equipment","Ambulatory Peritoneal Dialysis","843","400.0","false"
"Ambulatory Peritoneal Dialysis","Ambulatory Peritoneal Dialysis","Maintenance","Ambulatory Peritoneal Dialysis","844","401.0","false"
"Ambulatory Peritoneal Dialysis","Ambulatory Peritoneal Dialysis","Support Services","Ambulatory Peritoneal Dialysis","845","402.0","false"
"Ambulatory Peritoneal Dialysis","Ambulatory Peritoneal Dialysis","Other Outpatient CAPD","Ambulatory Peritoneal Dialysis","849","403.0","false"
"Cycling Peritoneal Dialysis","Cycling Peritoneal Dialysis","General","Cycling Peritoneal Dialysis","850","404.0","false"
"Cycling Peritoneal Dialysis","Cycling Peritoneal Dialysis","CCPD/Composite or Other Rate","Cycling Peritoneal Dialysis","851","405.0","false"
"Cycling Peritoneal Dialysis","Cycling Peritoneal Dialysis","Home Supplies","Cycling Peritoneal Dialysis","852","406.0","false"
"Cycling Peritoneal Dialysis","Cycling Peritoneal Dialysis","Home Equipment","Cycling Peritoneal Dialysis","853","407.0","false"
"Cycling Peritoneal Dialysis","Cycling Peritoneal Dialysis","Maintenance","Cycling Peritoneal Dialysis","854","408.0","false"
"Cycling Peritoneal Dialysis","Cycling Peritoneal Dialysis","Support Services","Cycling Peritoneal Dialysis","855","409.0","false"
"Cycling Peritoneal Dialysis","Cycling Peritoneal Dialysis","Other CCPD Dialysis","Cycling Peritoneal Dialysis","859","410.0","false"
"Dialysis","Dialysis","General Dialysis","Dialysis","880","411.0","false"
"Psychiatric or Psychological Treatments","Psychiatric or Psychological Treatments","General","Psychiatric or Psychological Treatments","900","412.0","false"
"Psychiatric or Psychological Treatments","Psychiatric or Psychological Treatments","Electroshock Treatment","Psychiatric or Psychological Treatments","901","413.0","false"
"Psychiatric or Psychological Treatments","Psychiatric or Psychological Treatments","Milieu Therapy","Psychiatric or Psychological Treatments","902","414.0","false"
"Psychiatric or Psychological Treatments","Psychiatric or Psychological Treatments","Play Therapy","Psychiatric or Psychological Treatments","903","415.0","false"
"Psychiatric or Psychological Treatments","Psychiatric or Psychological Treatments","Activity Therapy","Psychiatric or Psychological Treatments","904","416.0","false"
"Psychiatric or Psychological Treatments","Psychiatric or Psychological Treatments","Other","Psychiatric or Psychological Treatments","909","417.0","false"
"Psychiatric or Psychological Services","Psychiatric or Psychological Services","General","Psychiatric or Psychological Services","910","418.0","false"
"Psychiatric or Psychological Services","Psychiatric or Psychological Services","Rehabilitation","Psychiatric or Psychological Services","911","419.0","false"
"Psychiatric or Psychological Services","Psychiatric or Psychological Services","Partial Hospitalization","Psychiatric or Psychological Services","912","420.0","false"
"Psychiatric or Psychological Services","Psychiatric or Psychological Services","Individual Therapy","Psychiatric or Psychological Services","914","421.0","false"
"Psychiatric or Psychological Services","Psychiatric or Psychological Services","Group Therapy","Psychiatric or Psychological Services","915","422.0","false"
"Psychiatric or Psychological Services","Psychiatric or Psychological Services","Family Therapy","Psychiatric or Psychological Services","916","423.0","false"
"Psychiatric or Psychological Services","Psychiatric or Psychological Services","Bio Feedback","Psychiatric or Psychological Services","917","424.0","false"
"Psychiatric or Psychological Services","Psychiatric or Psychological Services","Testing","Psychiatric or Psychological Services","918","425.0","false"
"Psychiatric or Psychological Services","Psychiatric or Psychological Services","Other","Psychiatric or Psychological Services","919","426.0","false"
"Diagnostic Services","Diagnostic Services","General","Diagnostic Services","920","427.0","false"
"Diagnostic Services","Diagnostic Services","Peripheral Vascular Lab","Diagnostic Services","921","428.0","false"
"Diagnostic Services","Diagnostic Services","Electromyelogram","Diagnostic Services","922","429.0","false"
"Diagnostic Services","Diagnostic Services","Pap Smear","Diagnostic Services","923","430.0","false"
"Diagnostic Services","Diagnostic Services","Allergy Test","Diagnostic Services","924","431.0","false"
"Diagnostic Services","Diagnostic Services","Pregnancy Test","Diagnostic Services","925","432.0","false"
"Diagnostic Services","Diagnostic Services","Other Diagnostic Services","Diagnostic Services","929","433.0","false"
"Therapeutic Services","Therapeutic Services","General","Therapeutic Services","940","434.0","false"
"Therapeutic Services","Therapeutic Services","Recreational Therapy","Therapeutic Services","941","435.0","false"
"Therapeutic Services","Therapeutic Services","Education or Training","Therapeutic Services","942","436.0","false"
"Rehabilitation","Rehabilitation","Cardiac Rehabilitation","Rehabilitation","943","437.0","false"
"Rehabilitation","Rehabilitation","O/P Drug Rehabilitation","Rehabilitation","944","438.0","false"
"Rehabilitation","Rehabilitation","O/P Alcohol Rehabilitation","Rehabilitation","945","439.0","false"
"Medical Equipment","Medical Equipment","Complex Medical Equipment (Routing)","Medical Equipment","946","440.0","false"
"Medical Equipment","Medical Equipment","Complex Medical Equipment (Ancillary)","Medical Equipment","947","441.0","false"
"Pulmonary Rehabilitation","Pulmonary Rehabilitation","Pulmonary Rehabilitation","Pulmonary Rehabilitation","948","442.0","false"
"Therapeutic Services","Therapeutic Services","Psoriasis Treatment Center","Therapeutic Services","949","443.0","false"
"Therapeutic Services","Therapeutic Services","Reserved","Therapeutic Services","950","444.0","false"
"Therapeutic Services","Therapeutic Services","Athletic Training","Therapeutic Services","951","445.0","false"
"Therapeutic Services","Therapeutic Services","Kinesiotherapy","Therapeutic Services","952","446.0","false"
"Professional Fees","Professional Fees","General","Professional Fees","960","447.0","false"
"Professional Fees","Professional Fees","Psychiatric","Professional Fees","961","448.0","false"
"Professional Fees","Professional Fees","Opthalmology","Professional Fees","962","449.0","false"
"Professional Fees","Professional Fees","Anesthesiologist (MD)","Professional Fees","963","450.0","false"
"Professional Fees","Professional Fees","Anesthetist (CRNA)","Professional Fees","964","451.0","false"
"Professional Fees","Professional Fees","Midwife","Professional Fees","969","452.0","false"
"Professional Fees","Professional Fees","Laboratory","Professional Fees","971","453.0","false"
"Professional Fees","Professional Fees","Diagnostic Radiology","Professional Fees","972","454.0","false"
"Professional Fees","Professional Fees","Therapeutic Radiology","Professional Fees","973","455.0","false"
"Professional Fees","Professional Fees","Nuclear Medicine","Professional Fees","974","456.0","false"
"Professional Fees","Professional Fees","Operating Room","Professional Fees","975","457.0","false"
"Professional Fees","Professional Fees","Respiratory Therapy","Professional Fees","976","458.0","false"
"Professional Fees","Professional Fees","Physical Therapy","Professional Fees","977","459.0","false"
"Professional Fees","Professional Fees","Occupational Therapy","Professional Fees","978","460.0","false"
"Professional Fees","Professional Fees","Speech Pathology","Professional Fees","979","461.0","false"
"Professional Fees","Professional Fees","Emergency Room","Professional Fees","981","462.0","false"
"Professional Fees","Professional Fees","Outpatient Services","Professional Fees","982","463.0","false"
"Professional Fees","Professional Fees","Clinic","Professional Fees","983","464.0","false"
"Professional Fees","Professional Fees","Medical Social Services","Professional Fees","984","465.0","false"
"Professional Fees","Professional Fees","EKG","Professional Fees","985","466.0","false"
"Professional Fees","Professional Fees","EEG","Professional Fees","986","467.0","false"
"Professional Fees","Professional Fees","Hospital Visit","Professional Fees","987","468.0","false"
"Professional Fees","Professional Fees","Consultation","Professional Fees","988","469.0","false"
"Professional Fees","Professional Fees","Private Duty Nurse","Professional Fees","989","470.0","false"
"Patient Convenience Items","Patient Convenience Items","General","Patient Convenience Items","990","471.0","false"
"Patient Convenience Items","Patient Convenience Items","Cafeteria or Guest Tray","Patient Convenience Items","991","472.0","false"
"Patient Convenience Items","Patient Convenience Items","Private Linen Service","Patient Convenience Items","992","473.0","false"
"Patient Convenience Items","Patient Convenience Items","Telephone","Patient Convenience Items","993","474.0","false"
"Patient Convenience Items","Patient Convenience Items","TV or Radio","Patient Convenience Items","994","475.0","false"
"Patient Convenience Items","Patient Convenience Items","Non-Patient Room Rentals","Patient Convenience Items","995","476.0","false"
"Patient Convenience Items","Patient Convenience Items","Late Discharge Charge","Patient Convenience Items","996","477.0","false"
"Patient Convenience Items","Patient Convenience Items","Admission Kits","Patient Convenience Items","997","478.0","false"
"Patient Convenience Items","Patient Convenience Items","Beauty Shop or Barber","Patient Convenience Items","998","479.0","false"
"Patient Convenience Items","Patient Convenience Items","Other Patient Convenience Items","Patient Convenience Items","999","480.0","false"
"IP REHAB HIPPS/CMG","IP REHAB HIPPS/CMG","IP REHAB HIPPS/CMG","IP REHAB HIPPS/CMG","024","482.0","true"
"DIALYSIS/ULTRAFILT","DIALYSIS/ULTRAFILT","DIALYSIS/ULTRAFILT","DIALYSIS/ULTRAFILT","881","483.0","true"
"Room & Board","Room & Board","General","Room & Board","110","1.0","false"
"Room & Board","Room & Board","Medical or Surgical","Room & Board","111","2.0","false"
"Room & Board","Room & Board","OB","Room & Board","112","3.0","false"
"Room & Board","Room & Board","Pediatric","Room & Board","113","4.0","false"
"Room & Board","Room & Board","Psychiatric","Room & Board","114","5.0","false"
"Room & Board","Room & Board","Hospice","Room & Board","115","6.0","false"
"Room & Board","Room & Board","Detoxification","Room & Board","116","7.0","false"
"Room & Board","Room & Board","Oncology","Room & Board","117","8.0","false"
"Room & Board","Room & Board","Rehabilitation","Room & Board","118","9.0","false"
"Room & Board","Room & Board","Other","Room & Board","119","10.0","false"
"Room & Board","Room & Board","General","Room & Board","120","11.0","false"
"Room & Board","Room & Board","Medical or Surgical","Room & Board","121","12.0","false"
"Room & Board","Room & Board","OB","Room & Board","122","13.0","false"
"Room & Board","Room & Board","Pediatric","Room & Board","123","14.0","false"
"Room & Board","Room & Board","Psychiatric","Room & Board","124","15.0","false"
"Room & Board","Room & Board","Hospice","Room & Board","125","16.0","false"
"Room & Board","Room & Board","Detoxification","Room & Board","126","17.0","false"
"Room & Board","Room & Board","Oncology","Room & Board","127","18.0","false"
"Room & Board","Room & Board","Rehabilitation","Room & Board","128","19.0","false"
"Room & Board","Room & Board","Other","Room & Board","129","20.0","false"
"Room & Board","Room & Board","General","Room & Board","130","21.0","false"
"Room & Board","Room & Board","Medical or Surgical","Room & Board","131","22.0","false"
"Room & Board","Room & Board","OB","Room & Board","132","23.0","false"
"Room & Board","Room & Board","Pediatric","Room & Board","133","24.0","false"
"Room & Board","Room & Board","Psychiatric","Room & Board","134","25.0","false"
"Room & Board","Room & Board","Hospice","Room & Board","135","26.0","false"
"Room & Board","Room & Board","Detoxification","Room & Board","136","27.0","false"
"Room & Board","Room & Board","Oncology","Room & Board","137","28.0","false"
"Room & Board","Room & Board","Rehabilitation","Room & Board","138","29.0","false"
"Room & Board","Room & Board","Other","Room & Board","139","30.0","false"
"Room & Board","Room & Board","General","Room & Board","140","31.0","false"
"Room & Board","Room & Board","Medical or Surgical","Room & Board","141","32.0","false"
"Room & Board","Room & Board","OB","Room & Board","142","33.0","false"
"Room & Board","Room & Board","Pediatric","Room & Board","143","34.0","false"
"Room & Board","Room & Board","Psychiatric","Room & Board","144","35.0","false"
"Room & Board","Room & Board","Hospice","Room & Board","145","36.0","false"
"Room & Board","Room & Board","Detoxification","Room & Board","146","37.0","false"
"Room & Board","Room & Board","Oncology","Room & Board","147","38.0","false"
"Room & Board","Room & Board","Rehabilitation","Room & Board","148","39.0","false"
"Room & Board","Room & Board","Private","Room & Board","149","40.0","false"
"Room & Board","Room & Board","General","Room & Board","150","41.0","false"
"Room & Board","Room & Board","Medical or Surgical","Room & Board","151","42.0","false"
"Room & Board","Room & Board","OB","Room & Board","152","43.0","false"
"Room & Board","Room & Board","Pediatric","Room & Board","153","44.0","false"
"Room & Board","Room & Board","Psychiatric","Room & Board","154","45.0","false"
"Room & Board","Room & Board","Hospice","Room & Board","155","46.0","false"
"Room & Board","Room & Board","Detoxification","Room & Board","156","47.0","false"
"Room & Board","Room & Board","Oncology","Room & Board","157","48.0","false"
"Room & Board","Room & Board","Rehabilitation","Room & Board","158","49.0","false"
"Room & Board","Room & Board","Other","Room & Board","159","50.0","false"
"Room & Board","Room & Board","General","Room & Board","160","51.0","false"
"Room & Board","Room & Board","Sterile Environment","Room & Board","164","52.0","false"
"Room & Board","Room & Board","Self Care","Room & Board","167","53.0","false"
"Room & Board","Room & Board","Rehabilitation","Room & Board","168","54.0","false"
"Room & Board","Room & Board","Other","Room & Board","169","55.0","false"
"Room & Board","Room & Board","Newborn (Well Baby)","Room & Board","170","56.0","false"
"Room & Board","Room & Board","Newborn Level I (Routine)","Room & Board","171","57.0","false"
"Room & Board","Room & Board","Newborn Level II (Low-Birth Weight)","Room & Board","172","58.0","false"
"Room & Board","Room & Board","Newborn Level III (Sick Baby)","Room & Board","173","59.0","false"
"Room & Board","Room & Board","Newborn Level IV (Intensive Care)","Room & Board","174","60.0","false"
"Room & Board","Room & Board","Boarder Baby","Room & Board","179","61.0","false"
"Room & Board","Room & Board","General","Room & Board","180","62.0","false"
"Room & Board","Room & Board","Reserved","Room & Board","181","63.0","false"
"Room & Board","Room & Board","Patient Convenience","Room & Board","182","64.0","false"
"Room & Board","Room & Board","Therapeutic Leave","Room & Board","183","65.0","false"
"Room & Board","Room & Board","ICF/MR","Room & Board","184","66.0","false"
"Room & Board","Room & Board","Nursing Home","Room & Board","185","67.0","false"
"Room & Board","Room & Board","Other Leave of Absence","Room & Board","189","68.0","false"
"Room & Board","Room & Board","General Classification","Room & Board","190","69.0","false"
"Room & Board","Room & Board","Subacute Care Level I (Skilled Care)","Room & Board","191","70.0","false"
"Room & Board","Room & Board","Subacute Care Level II (Comprehensive Care)","Room & Board","192","71.0","false"
"Room & Board","Room & Board","Subacute Care Level III (Complex Care)","Room & Board","193","72.0","false"
"Laboratory","Laboratory","Chemistry","Laboratory","301","140.0","false"
"Room & Board","Room & Board","Subacute Care Level IV (Intensive Care)","Room & Board","194","73.0","false"
"Room & Board","Room & Board","Other Subacute CareRevenue Codes (UB04 FL42)","Room & Board","199","74.0","false"
"Room & Board","Room & Board","General","Room & Board","200","75.0","false"
"Room & Board","Room & Board","Surgical","Room & Board","201","76.0","false"
"Room & Board","Room & Board","Medical","Room & Board","202","77.0","false"
"Room & Board","Room & Board","Pediatric","Room & Board","203","78.0","false"
"Room & Board","Room & Board","Psychiatric","Room & Board","204","79.0","false"
"Room & Board","Room & Board","Intermediate ICU","Room & Board","206","80.0","false"
"Room & Board","Room & Board","Burn Care","Room & Board","207","81.0","false"
"Room & Board","Room & Board","Trauma","Room & Board","208","82.0","false"
"Room & Board","Room & Board","Other Intensive Care","Room & Board","209","83.0","false"
"Room & Board","Room & Board","General","Room & Board","210","84.0","false"
"Room & Board","Room & Board","Myocardial Infarction","Room & Board","211","85.0","false"
"Room & Board","Room & Board","Pulmonary Care","Room & Board","212","86.0","false"
"Room & Board","Room & Board","Heart Transplant","Room & Board","213","87.0","false"
"Room & Board","Room & Board","Intermediate CCU","Room & Board","214","88.0","false"
"Room & Board","Room & Board","Other Coronary Care","Room & Board","219","89.0","false"
"Room & Board","Room & Board","General","Room & Board","220","90.0","false"
"Room & Board","Room & Board","Admission Charge","Room & Board","221","91.0","false"
"Room & Board","Room & Board","Technical Support Charge","Room & Board","222","92.0","false"
"Room & Board","Room & Board","U.R. Service Charge","Room & Board","223","93.0","false"
"Room & Board","Room & Board","Medically Necessary Late Discharge","Room & Board","224","94.0","false"
"Room & Board","Room & Board","Other Special Charges","Room & Board","229","95.0","false"
"Room & Board","Room & Board","General","Room & Board","230","96.0","false"
"Room & Board","Room & Board","Nursery","Room & Board","231","97.0","false"
"Room & Board","Room & Board","OB","Room & Board","232","98.0","false"
"Room & Board","Room & Board","ICU","Room & Board","233","99.0","false"
"Room & Board","Room & Board","CCU","Room & Board","234","100.0","false"
"Room & Board","Room & Board","Hospice","Room & Board","235","101.0","false"
"Room & Board","Room & Board","Other","Room & Board","239","102.0","false"
"Other Ancillary Services","Other Ancillary Services","General","Other Ancillary Services","240","103.0","false"
"Other Ancillary Services","Other Ancillary Services","Other Inclusive Ancillary","Other Ancillary Services","249","104.0","false"
"Pharmacy","Pharmacy","General Pharmacy","Pharmacy","250","105.0","false"
"Pharmacy","Pharmacy","Generic Drugs","Pharmacy","251","106.0","false"
"Pharmacy","Pharmacy","Non-Generic Drugs","Pharmacy","252","107.0","false"
"Pharmacy","Pharmacy","Take Home Drugs","Pharmacy","253","108.0","false"
"Pharmacy","Pharmacy","Drugs Incidental to Diagnostic Services","Pharmacy","254","109.0","false"
"Pharmacy","Pharmacy","Drugs Incidental to Radiology","Pharmacy","255","110.0","false"
"Pharmacy","Pharmacy","Experimental Drugs","Pharmacy","256","111.0","false"
"Pharmacy","Pharmacy","Non-Prescription Drugs","Pharmacy","257","112.0","false"
"Pharmacy","Pharmacy","IV Solutions","Pharmacy","258","113.0","false"
"Pharmacy","Pharmacy","Other","Pharmacy","259","114.0","false"
"IV Therapy","IV Therapy","General","IV Therapy","260","115.0","false"
"IV Therapy","IV Therapy","Infusion Pump","IV Therapy","261","116.0","false"
"IV Therapy","IV Therapy","IV Therapy or Pharmacy Services","IV Therapy","262","117.0","false"
"IV Therapy","IV Therapy","IV Therapy or Drug Supplies","IV Therapy","263","118.0","false"
"IV Therapy","IV Therapy","IV Therapy and Supplies","IV Therapy","264","119.0","false"
"IV Therapy","IV Therapy","Other IV Therapy","IV Therapy","269","120.0","false"
"Medical & Surgical Supplies","Medical & Surgical Supplies","General","Medical & Surgical Supplies","270","121.0","false"
"Medical & Surgical Supplies","Medical & Surgical Supplies","Non-Sterile Supply","Medical & Surgical Supplies","271","122.0","false"
"Medical & Surgical Supplies","Medical & Surgical Supplies","Sterile Supply","Medical & Surgical Supplies","272","123.0","false"
"Medical & Surgical Supplies","Medical & Surgical Supplies","Take Home Supplies","Medical & Surgical Supplies","273","124.0","false"
"Medical & Surgical Supplies","Medical & Surgical Supplies","Prosthetic or Orthotic Devices","Medical & Surgical Supplies","274","125.0","false"
"Medical & Surgical Supplies","Medical & Surgical Supplies","Pace Maker","Medical & Surgical Supplies","275","126.0","false"
"Medical & Surgical Supplies","Medical & Surgical Supplies","Intraocular Lens","Medical & Surgical Supplies","276","127.0","false"
"Medical & Surgical Supplies","Medical & Surgical Supplies","Take Home Oxygen","Medical & Surgical Supplies","277","128.0","false"
"Medical & Surgical Supplies","Medical & Surgical Supplies","Other Implants","Medical & Surgical Supplies","278","129.0","false"
"Medical & Surgical Supplies","Medical & Surgical Supplies","Other Supplies/Devices","Medical & Surgical Supplies","279","130.0","false"
"Oncology","Oncology","General","Oncology","280","131.0","false"
"Oncology","Oncology","Other Oncology","Oncology","289","132.0","false"
"Durable Medical Equipment (DME)","Durable Medical Equipment (DME)","General Medical Equipment","Durable Medical Equipment (DME)","290","133.0","false"
"Durable Medical Equipment (DME)","Durable Medical Equipment (DME)","Rental","Durable Medical Equipment (DME)","291","134.0","false"
"Durable Medical Equipment (DME)","Durable Medical Equipment (DME)","Purchase of New DME","Durable Medical Equipment (DME)","292","135.0","false"
"Durable Medical Equipment (DME)","Durable Medical Equipment (DME)","Purchase of Used DME","Durable Medical Equipment (DME)","293","136.0","false"
